0,0,0
0,1,0;1
0,2,0;1;2
0,10,0;10
0,11,0;10;11
0,12,0;10;11;12
0,13,0;10;151;152;13
0,14,0;1;2;14
0,15,0;1;2;14;15
0,16,0;1;2;14;15;16
0,17,0;1;2;14;153;154;17
0,101,0;10;151;152;13;101
0,102,0;10;11;12;102
0,103,0;10;11;103
0,104,0;10;11;104
0,105,0;10;105
0,121,0;1;2;14;153;154;17;121
0,122,0;1;2;14;153;154;17;122
0,123,0;1;2;14;15;123
0,124,0;1;2;14;15;124
0,125,0;1;2;14;125
0,151,0;10;151
0,152,0;10;151;152
0,153,0;1;2;14;153
0,154,0;1;2;14;153;154
0,191,0;10;11;191
0,192,0;1;2;14;15;192
1,0,1;0
1,1,1
1,2,1;2
1,10,1;0;10
1,11,1;0;10;11
1,12,1;0;10;11;12
1,13,1;0;10;151;152;13
1,14,1;2;14
1,15,1;2;14;15
1,16,1;2;14;15;16
1,17,1;2;14;153;154;17
1,101,1;0;10;151;152;13;101
1,102,1;0;10;11;12;102
1,103,1;0;10;11;103
1,104,1;0;10;11;104
1,105,1;0;10;105
1,121,1;2;14;153;154;17;121
1,122,1;2;14;153;154;17;122
1,123,1;2;14;15;123
1,124,1;2;14;15;124
1,125,1;2;14;125
1,151,1;0;10;151
1,152,1;0;10;151;152
1,153,1;2;14;153
1,154,1;2;14;153;154
1,191,1;0;10;11;191
1,192,1;2;14;15;192
2,0,2;1;0
2,1,2;1
2,2,2
2,10,2;1;0;10
2,11,2;1;0;10;11
2,12,2;1;0;10;11;12
2,13,2;1;0;10;151;152;13
2,14,2;14
2,15,2;14;15
2,16,2;14;15;16
2,17,2;14;153;154;17
2,101,2;1;0;10;151;152;13;101
2,102,2;1;0;10;11;12;102
2,103,2;1;0;10;11;103
2,104,2;1;0;10;11;104
2,105,2;1;0;10;105
2,121,2;14;153;154;17;121
2,122,2;14;153;154;17;122
2,123,2;14;15;123
2,124,2;14;15;124
2,125,2;14;125
2,151,2;1;0;10;151
2,152,2;1;0;10;151;152
2,153,2;14;153
2,154,2;14;153;154
2,191,2;1;0;10;11;191
2,192,2;14;15;192
10,0,10;0
10,1,10;0;1
10,2,10;0;1;2
10,10,10
10,11,10;11
10,12,10;11;12
10,13,10;151;152;13
10,14,10;0;1;2;14
10,15,10;0;1;2;14;15
10,16,10;0;1;2;14;15;16
10,17,10;0;1;2;14;153;154;17
10,101,10;151;152;13;101
10,102,10;11;12;102
10,103,10;11;103
10,104,10;11;104
10,105,10;105
10,121,10;0;1;2;14;153;154;17;121
10,122,10;0;1;2;14;153;154;17;122
10,123,10;0;1;2;14;15;123
10,124,10;0;1;2;14;15;124
10,125,10;0;1;2;14;125
10,151,10;151
10,152,10;151;152
10,153,10;0;1;2;14;153
10,154,10;0;1;2;14;153;154
10,191,10;11;191
10,192,10;0;1;2;14;15;192
11,0,11;10;0
11,1,11;10;0;1
11,2,11;10;0;1;2
11,10,11;10
11,11,11
11,12,11;12
11,13,11;12;13
11,14,11;10;0;1;2;14
11,15,11;10;0;1;2;14;15
11,16,11;10;0;1;2;14;15;16
11,17,11;10;0;1;2;14;153;154;17
11,101,11;12;13;101
11,102,11;12;102
11,103,11;103
11,104,11;104
11,105,11;10;105
11,121,11;10;0;1;2;14;153;154;17;121
11,122,11;10;0;1;2;14;153;154;17;122
11,123,11;10;0;1;2;14;15;123
11,124,11;10;0;1;2;14;15;124
11,125,11;10;0;1;2;14;125
11,151,11;10;151
11,152,11;10;151;152
11,153,11;10;0;1;2;14;153
11,154,11;10;0;1;2;14;153;154
11,191,11;191
11,192,11;10;0;1;2;14;15;192
12,0,12;11;10;0
12,1,12;11;10;0;1
12,2,12;11;10;0;1;2
12,10,12;11;10
12,11,12;11
12,12,12
12,13,12;13
12,14,12;11;10;0;1;2;14
12,15,12;11;10;0;1;2;14;15
12,16,12;11;10;0;1;2;14;15;16
12,17,12;11;10;0;1;2;14;153;154;17
12,101,12;13;101
12,102,12;102
12,103,12;11;103
12,104,12;11;104
12,105,12;11;10;105
12,121,12;11;10;0;1;2;14;153;154;17;121
12,122,12;11;10;0;1;2;14;153;154;17;122
12,123,12;11;10;0;1;2;14;15;123
12,124,12;11;10;0;1;2;14;15;124
12,125,12;11;10;0;1;2;14;125
12,151,12;11;10;151
12,152,12;13;152
12,153,12;11;10;0;1;2;14;153
12,154,12;11;10;0;1;2;14;153;154
12,191,12;11;191
12,192,12;11;10;0;1;2;14;15;192
13,0,13;152;151;10;0
13,1,13;152;151;10;0;1
13,2,13;152;151;10;0;1;2
13,10,13;152;151;10
13,11,13;12;11
13,12,13;12
13,13,13
13,14,13;152;151;10;0;1;2;14
13,15,13;152;151;10;0;1;2;14;15
13,16,13;152;151;10;0;1;2;14;15;16
13,17,13;152;151;10;0;1;2;14;153;154;17
13,101,13;101
13,102,13;12;102
13,103,13;12;11;103
13,104,13;12;11;104
13,105,13;152;151;10;105
13,121,13;152;151;10;0;1;2;14;153;154;17;121
13,122,13;152;151;10;0;1;2;14;153;154;17;122
13,123,13;152;151;10;0;1;2;14;15;123
13,124,13;152;151;10;0;1;2;14;15;124
13,125,13;152;151;10;0;1;2;14;125
13,151,13;152;151
13,152,13;152
13,153,13;152;151;10;0;1;2;14;153
13,154,13;152;151;10;0;1;2;14;153;154
13,191,13;12;11;191
13,192,13;152;151;10;0;1;2;14;15;192
14,0,14;2;1;0
14,1,14;2;1
14,2,14;2
14,10,14;2;1;0;10
14,11,14;2;1;0;10;11
14,12,14;2;1;0;10;11;12
14,13,14;2;1;0;10;151;152;13
14,14,14
14,15,14;15
14,16,14;15;16
14,17,14;153;154;17
14,101,14;2;1;0;10;151;152;13;101
14,102,14;2;1;0;10;11;12;102
14,103,14;2;1;0;10;11;103
14,104,14;2;1;0;10;11;104
14,105,14;2;1;0;10;105
14,121,14;153;154;17;121
14,122,14;153;154;17;122
14,123,14;15;123
14,124,14;15;124
14,125,14;125
14,151,14;2;1;0;10;151
14,152,14;2;1;0;10;151;152
14,153,14;153
14,154,14;153;154
14,191,14;2;1;0;10;11;191
14,192,14;15;192
15,0,15;14;2;1;0
